GISJOIN,diff
G0100010,0.494789343497
G0100030,0.577861621851
G0100050,0.05611164581299999
G0100070,0.555441243713
G0100090,0.8138197289633999
G0100110,-0.508615188257
G0100130,0.135290731145
G0100150,0.41383823032800005
G0100170,0.14806212802999996
G0100190,0.6936113491379999
G0100210,0.66606409203
G0100230,0.13662630709999996
G0100250,0.10799319727899998
G0100270,0.608034083993
G0100290,0.773729332517
G0100310,0.567006288695
G0100330,0.38260375213199993
G0100350,0.05257527128299999
G0100370,0.30557151062599996
G0100390,0.6854848906309999
G0100410,0.455534229047
G0100430,0.778046032512
G0100450,0.504377719289
G0100470,-0.37597437266399997
G0100490,0.693743770605
G0100510,0.519794065844
G0100530,0.36705449286799996
G0100550,0.5010351014400001
G0100570,0.6523914104440001
G0100590,0.6080301129229999
G0100610,0.724333133202
G0100630,-0.6515837104069999
G0100650,-0.19975031210999994
G0100670,0.41624048896099997
G0100690,0.47632643350000003
G0100710,0.624488814048
G0100730,-0.07227233713999998
G0100750,0.690232289713
G0100770,0.46010357354500003
G0100790,0.486972577446
G0100810,0.231220087397
G0100830,0.49451776649800006
G0100850,-0.468993409227
G0100870,-0.667924096937
G0100890,0.167827782759
G0100910,-0.034983558641
G0100930,0.7621592317229999
G0100950,0.695095095095
G0100970,0.138676883717
G0100990,0.143446244477
G0101010,-0.26161020175199995
G0101030,0.523614250565
G0101050,-0.460513796384
G0101070,0.156098588582
G0101090,0.20284069097899993
G0101110,0.533761105626
G0101130,-0.019178511706000045
G0101150,0.686111184332
G0101170,0.503175147165
G0101190,-0.49413237365099993
G0101210,0.25552411343299997
G0101230,0.415910073498
G0101250,0.195268517159
G0101270,0.67441780939
G0101290,0.431582666039
G0101310,-0.42526661197700005
G0101330,0.8146270112145
G0200130,0.151710545526
G0200160,0.151710545526
G0200200,0.151710545526
G0200500,0.151710545526
G0200600,0.151710545526
G0200680,0.151710545526
G0200700,0.151710545526
G0200900,0.151710545526
G0201000,0.151710545526
G0201050,0.151710545526
G0201100,0.151710545526
G0201220,0.151710545526
G0201300,0.151710545526
G0201500,0.151710545526
G0201640,0.151710545526
G0201700,0.151710545526
G0201800,0.151710545526
G0201850,0.151710545526
G0201880,0.151710545526
G0201950,0.151710545526
G0201980,0.151710545526
G0202200,0.151710545526
G0202300,0.151710545526
G0202400,0.151710545526
G0202610,0.151710545526
G0202750,0.151710545526
G0202820,0.151710545526
G0202900,0.151710545526
G0400010,-0.368776461761
G0400030,0.225855795305
G0400050,-0.19441785928900002
G0400070,0.323675109823
G0400090,0.39567802998600005
G0400110,0.24668516805400004
G0400120,0.418373555059
G0400130,0.034465286779000015
G0400150,0.514510237366
G0400170,0.07916066536800004
G0400190,-0.13479801087700005
G0400210,0.19316667554999994
G0400230,-0.471258207156
G0400250,0.31425953869400003
G0400270,0.055202531956000056
G0500010,0.30582130695699994
G0500030,0.36501806403299997
G0500050,0.536071939505
G0500070,0.348571004222
G0500090,0.584464555053
G0500110,0.23389549350300004
G0500130,0.40800000000000003
G0500150,0.322728978979
G0500170,-0.15280790551899998
G0500190,0.09468021518300002
G0500210,0.297758447641
G0500230,0.614388368984
G0500250,0.5265231888449999
G0500270,0.26207989136599996
G0500290,0.279316064821
G0500310,0.352436513384
G0500330,0.549717896638
G0500350,-0.08956829978500003
G0500370,0.37798272580900005
G0500390,0.12477198102800002
G0500410,-0.07382867960300005
G0500430,0.24465811965799994
G0500450,0.315870071607
G0500470,0.546133174082
G0500490,0.506534569983
G0500510,0.341373924685
G0500530,0.547483588621
G0500550,0.529884898073
G0500570,0.28923253150100003
G0500590,0.424545069827
G0500610,0.38951230038900003
G0500630,0.524213345235
G0500650,0.543180133433
G0500670,0.329668172001
G0500690,-0.252696336098
G0500710,0.405801933978
G0500730,0.25467372134000005
G0500750,0.497601705454
G0500770,-0.16844207723
G0500790,0.31541688515999994
G0500810,0.42507704160299997
G0500830,0.513458349279
G0500850,0.532914892027
G0500870,0.491005603067
G0500890,0.5507591545099999
G0500910,0.43833905713399995
G0500930,0.10519430550199999
G0500950,0.03687635574799997
G0500970,0.533526850508
G0500990,0.261367151253
G0501010,0.583221656392
G0501030,0.10393684849699997
G0501050,0.461428910515
G0501070,-0.268204235567
G0501090,0.6233569261890001
G0501110,0.24058300208299999
G0501130,0.6644501908630001
G0501150,0.504803898816
G0501170,0.49676850763800007
G0501190,-0.17875710083200003
G0501210,0.488357357833
G0501230,-0.11279007015599996
G0501250,0.434954109022
G0501270,0.62015246934
G0501290,0.636560302867
G0501310,0.38076543379999994
G0501330,0.4883772415319999
G0501350,0.547009735744
G0501370,0.523249502443
G0501390,0.27751254743599996
G0501410,0.539305301645
G0501430,0.10392435351200002
G0501450,0.578521729627
G0501470,0.089019607843
G0501490,0.48959148536600006
G0600010,-0.644431216823
G0600030,-0.18608695652199997
G0600050,0.25224019550800003
G0600070,0.04003551629500002
G0600090,0.23882869168099996
G0600110,0.13527449196199992
G0600130,-0.43473839585299995
G0600150,0.17615639354699997
G0600170,0.138857757654
G0600190,-0.03880302400700003
G0600210,0.29032945943
G0600230,-0.25903793554499993
G0600250,-0.4112955378309999
G0600270,0.13669334667300004
G0600290,0.15011137903400007
G0600310,0.14089922480600003
G0600330,-0.037408968953
G0600350,0.513337171368
G0600370,-0.480184927106
G0600390,0.17330648221100003
G0600410,-0.6286917528489999
G0600430,0.23239833277
G0600450,-0.29156099693899995
G0600470,-0.07925122874699997
G0600490,0.48079785650499995
G0600510,-0.11951882033400002
G0600530,-0.39673755637299996
G0600550,-0.35191741143300004
G0600570,-0.045492813758999995
G0600590,-0.07680044976899997
G0600610,0.11298594318800004
G0600630,0.21007927519800002
G0600650,-0.04334476281899996
G0600670,-0.236872387846
G0600690,-0.203676303209
G0600710,-0.09779001741799997
G0600730,-0.17835795150700007
G0600750,-0.7608918819032999
G0600770,-0.12886520609399998
G0600790,-0.08291390728500003
G0600810,-0.576868093454
G0600830,-0.28241913484
G0600850,-0.524950390504
G0600870,-0.572879683549
G0600890,0.37373542464899995
G0600910,0.2477827051
G0600930,0.20699737850300004
G0600950,-0.304766542574
G0600970,-0.4791295867359999
G0600990,-0.006269973933999973
G0601010,0.162640901771
G0601030,0.36765027322399996
G0601050,0.11301950805799998
G0601070,0.12042803819300002
G0601090,0.209014996592
G0601110,-0.16800322202399998
G0601130,-0.420401793652
G0601150,0.24119099629599994
G0800010,-0.07231406138500002
G0800030,-0.019863708859000018
G0800050,-0.13749653835499998
G0800070,0.23936899862800004
G0800090,0.6824869482679999
G0800110,0.30919661733599996
G0800130,-0.4863156703539999
G0800140,-0.140806598469
G0800150,0.046367851623
G0800170,0.723048327137
G0800190,-0.02874186551000002
G0800210,0.033249370277000034
G0800230,-0.29010989011
G0800250,0.48510919920600004
G0800270,0.41187989556099996
G0800290,0.452313786688
G0800310,-0.563835878273
G0800330,0.576422764228
G0800350,0.181135809489
G0800370,-0.19897395073200003
G0800390,0.540506087068
G0800410,0.22567856151
G0800430,0.447486288848
G0800450,0.07087511394700002
G0800470,-0.01958589815399997
G0800490,0.13485257840899995
G0800510,-0.19550489299899998
G0800530,0.241086587437
G0800550,0.06468716861099999
G0800570,0.5301624129929999
G0800590,-0.06995144235299999
G0800610,0.744431418522
G0800630,0.655411015776
G0800650,-0.10582677165399995
G0800670,-0.09208384870799996
G0800690,-0.049232324378000014
G0800710,0.15568504407600003
G0800730,0.6136552872600001
G0800750,0.55957534529
G0800770,0.362879961536
G0800790,0.16411042944799997
G0800810,0.678801843317
G0800830,0.303085156619
G0800850,0.420740389179
G0800870,0.41857335127800005
G0800890,0.25188566891700004
G0800910,-0.10739275935500003
G0800930,0.26373840898000006
G0800950,0.5810463121780001
G0800970,-0.45412534899400003
G0800990,0.46906388107700003
G0801010,-0.0033104870899999805
G0801030,0.6836437718270001
G0801050,0.19588192419799993
G0801070,-0.16976474005199998
G0801090,-0.08718138160399996
G0801110,-0.09881422924899996
G0801130,-0.447691950824
G0801150,0.548387096774
G0801170,-0.276321524189
G0801190,0.424769414912
G0801210,0.73670605613
G0801230,0.22432917258400004
G0801250,0.654802744425
G0900010,-0.20294970008199997
G0900030,-0.21511250717000002
G0900050,0.138965864072
G0900070,-0.07306395782899994
G0900090,-0.12031635316
G0900110,-0.06727055176800006
G0900130,-0.05788319557799998
G0900150,0.07814133286000002
G1000010,0.04904852329199999
G1000030,-0.296013278872
G1000050,0.21998979341099995
G1100010,-0.8872452474742001
G1200010,-0.22519499010399996
G1200030,0.647617539972
G1200050,0.46265676813799994
G1200070,0.49504050256199994
G1200090,0.19754276461299997
G1200110,-0.350537226693
G1200130,0.562221855942
G1200150,0.277970993428
G1200170,0.397185576077
G1200190,0.44310521515999995
G1200210,0.260144863787
G1200230,0.44466127683300005
G1200270,0.277204720751
G1200290,0.6320466537070001
G1200310,0.015006974021000041
G1200330,0.20616190331700007
G1200350,0.20585930015900006
G1200370,0.396635015825
G1200390,-0.37469994112000005
G1200410,0.627583749109
G1200430,0.396096440873
G1200450,0.495260337958
G1200470,0.28251696936299997
G1200490,0.40794509700399995
G1200510,0.14244552494200002
G1200530,0.28985491808499997
G1200550,0.32042817346200003
G1200570,-0.06804890836800004
G1200590,0.778744415707
G1200610,0.24490281236999994
G1200630,0.373767681097
G1200650,0.05143305850000002
G1200670,0.6755555555549999
G1200690,0.23126228678400002
G1200710,0.20385700297999998
G1200730,-0.25116998519
G1200750,0.44751381215499997
G1200770,0.573899848255
G1200790,0.155592143949
G1200810,0.171492429462
G1200830,0.26221165143200004
G1200850,0.26852964159599996
G1200860,-0.295646131996
G1200870,0.06918980063100005
G1200890,0.502224036788
G1200910,0.477631958035
G1200930,0.39531983568100004
G1200950,-0.246405276658
G1200970,-0.25028396711000006
G1200990,-0.15314004884100002
G1201010,0.21570589749699998
G1201030,0.011024983724000015
G1201050,0.14105021351000002
G1201070,0.36607252235700005
G1201090,0.334301132032
G1201110,0.024415374011000024
G1201130,0.534449629426
G1201150,0.11562783085099998
G1201170,0.016285091609000046
G1201190,0.392581768842
G1201210,0.552931726908
G1201230,0.5144950964549999
G1201250,0.624099771649
G1201270,0.130501260065
G1201290,0.401394681961
G1201310,0.561220536964
G1201330,0.571518305815
G1300010,0.579465943168
G1300030,0.451996927803
G1300050,0.6855361596009999
G1300070,0.08680555555500002
G1300090,-0.017045101088000003
G1300110,0.784048373164
G1300130,0.5038504232
G1300150,0.552046455951
G1300170,0.27621137936800005
G1300190,0.665396922139
G1300210,-0.20220481080799996
G1300230,0.531617349006
G1300250,0.7863166268898
G1300270,0.18746011486999997
G1300290,0.431720108876
G1300310,0.234524450333
G1300330,-0.02556149732600005
G1300350,0.43800780837799996
G1300370,-0.17251606524900004
G1300390,0.33853917662699995
G1300430,0.43598615916899996
G1300450,0.401449341624
G1300470,0.60697849868
G1300490,0.485528942116
G1300510,-0.14478413024799996
G1300530,0.110549132948
G1300550,0.587557603686
G1300570,0.49995939544300005
G1300590,-0.38043011239
G1300610,-0.103068450039
G1300630,-0.719081984849
G1300650,0.42529676627099994
G1300670,-0.020874690586
G1300690,0.394717904433
G1300710,0.47321954090599994
G1300730,0.376959027886
G1300750,0.401291818483
G1300770,0.42307755035399996
G1300790,0.429125460539
G1300810,0.22719999999999996
G1300830,0.6543764026929999
G1300850,0.722260273973
G1300870,0.18607149833999997
G1300890,-0.647579519452
G1300910,0.455325232309
G1300930,0.021115745568999977
G1300950,-0.383109801032
G1300970,-0.10752200819400004
G1300990,0.08092848180700002
G1301010,0.723404255319
G1301030,0.556272707844
G1301050,0.34908998988900003
G1301070,0.36960959428400003
G1301090,0.353692393115
G1301110,0.654709282557
G1301130,0.195058539089
G1301150,0.43556204379499996
G1301170,0.47653986065699994
G1301190,0.6857446306349999
G1301210,-0.42120425470199996
G1301230,0.669393534178
G1301250,0.7892086330934
G1301270,0.28624305983899995
G1301290,0.636339522547
G1301310,0.33112006095600005
G1301330,0.259766730834
G1301350,-0.05741963566300001
G1301370,0.6635044642850001
G1301390,0.50658035447
G1301410,-0.519036954088
G1301430,0.716179199435
G1301450,0.47883113714100006
G1301470,0.46660712513599994
G1301490,0.624583927723
G1301510,-0.043463182267999945
G1301530,0.21644084017500004
G1301550,0.49767696091899993
G1301570,0.638836530288
G1301590,0.46692154255299995
G1301610,0.629003733543
G1301630,-0.10845111047100003
G1301650,0.25840474621
G1301670,0.37561108093400003
G1301690,0.346854040242
G1301710,0.384950495049
G1301730,0.41209367354099996
G1301750,0.291238173591
G1301770,0.5299163476540001
G1301790,-0.21178957841100005
G1301810,0.36292682926799996
G1301830,0.308347529813
G1301850,0.181837937685
G1301870,0.600210970464
G1301890,0.18698748381500002
G1301910,0.20091634142199993
G1301930,-0.27175180779100006
G1301950,0.566931770615
G1301970,0.22243166823800004
G1301990,0.15423156518799996
G1302010,0.49842519685000003
G1302050,0.09927453226500005
G1302070,0.41428007889499996
G1302090,0.511516853932
G1302110,0.41346051934300004
G1302130,0.687570439543
G1302150,-0.18590456674500005
G1302170,-0.023500125608000022
G1302190,0.40105097215
G1302210,0.42
G1302230,0.41240847664900004
G1302250,0.03009627067999998
G1302270,0.691889572307
G1302290,0.7397560641359999
G1302310,0.6955619596539999
G1302330,0.575151857607
G1302350,0.37020566981600006
G1302370,0.39985155338800005
G1302390,0.10919540229899999
G1302410,0.60938482828
G1302430,-0.11295336787600002
G1302450,-0.32375386914300003
G1302470,-0.259198169677
G1302490,0.5610267155569999
G1302510,0.176346727496
G1302530,0.32345540956100005
G1302550,0.24244410177300002
G1302570,0.599077868852
G1302590,-0.20214320506500005
G1302610,-0.022327531213000018
G1302630,-0.24822695035500003
G1302650,-0.21850613154900006
G1302670,0.49629306585300004
G1302690,0.22545561434400008
G1302710,0.299420137058
G1302730,-0.09452022014900002
G1302750,0.21820608649200002
G1302770,0.37417943107199997
G1302790,0.469257795345
G1302810,0.6201308355640001
G1302830,0.35111111111099996
G1302850,0.23440468344100002
G1302870,0.251032448377
G1302890,0.015790772266999986
G1302910,0.655120857214
G1302930,0.34941413401700006
G1302950,0.6151050586910001
G1302970,0.564353741497
G1302990,0.41744855967100003
G1303010,-0.13807890222999997
G1303030,-0.005818095463999973
G1303050,0.58866615266
G1303070,0.14272890484699996
G1303090,0.36869647954299994
G1303110,0.686347803924
G1303130,0.447566036493
G1303150,0.418432559704
G1303170,0.16219239373600003
G1303190,0.10266604303099996
G1303210,0.49951609000799996
G1500010,-0.366268403607
G1500030,-0.29871570936999997
G1500070,-0.3372697930510001
G1500090,-0.38569943398400003
G1600010,0.09239877905999999
G1600030,0.52267521759
G1600050,0.20469989522500004
G1600070,0.6653005464485999
G1600090,0.5536736641219999
G1600110,0.48018045112799995
G1600130,-0.286860020516
G1600150,0.49737670514200005
G1600170,0.302111210229
G1600190,0.4019044603280001
G1600210,0.554563106796
G1600230,0.613008130081
G1600250,0.500834724541
G1600270,0.41762606413299996
G1600290,0.6602965403629
G1600310,0.6007581315720001
G1600350,0.565114443567
G1600370,0.559469539992
G1600390,0.469773447587
G1600410,0.6393889798148
G1600430,0.602030101505
G1600450,0.5974597585520001
G1600470,0.541899441341
G1600490,0.6378450687099999
G1600510,0.6503356289778
G1600530,0.490297178214
G1600550,0.42520290860800003
G1600570,-0.046180976523999995
G1600590,0.559980334317
G1600610,0.5861635220120001
G1600630,0.47139588100600005
G1600650,0.4934021801487
G1600670,0.541484716157
G1600690,0.34143646408800005
G1600710,0.6513539651837
G1600730,0.627806122449
G1600750,0.598632298791
G1600770,0.350616388688
G1600790,0.37363281249999997
G1600810,0.0008054772449999636
G1600830,0.44583450914
G1600850,0.185642176108
G1600870,0.562864840593
G1700010,0.47525967894200005
G1700030,0.08297872340499995
G1700050,0.377646743501
G1700070,0.14639001946600005
G1700090,0.556934931507
G1700110,0.199595166534
G1700130,0.38341158059499997
G1700150,0.27073701387
G1700170,0.31638306292
G1700190,-0.18452621193700003
G1700210,0.427171783148
G1700230,0.479217291213
G1700250,0.636349155782
G1700270,0.48963400509599997
G1700290,0.264133456905
G1700310,-0.529564546774
G1700330,0.491007405666
G1700350,0.575367313623
G1700370,-0.030442436333000034
G1700390,0.42375150622599994
G1700410,0.46346890839399996
G1700430,-0.140808710457
G1700450,0.495438776821
G1700470,0.708031400966
G1700490,0.6048886848749999
G1700510,0.583184445612
G1700530,0.487199872794
G1700550,0.452705983921
G1700570,0.15145108591199996
G1700590,0.477889260498
G1700610,0.529953085528
G1700630,0.23572583111299994
G1700650,0.5804972242340001
G1700670,0.5076745970830001
G1700690,0.577121425223
G1700710,0.28793103448300006
G1700730,0.21157972928399998
G1700750,0.559622378704
G1700770,-0.029784976947999975
G1700790,0.59737460815
G1700810,0.43245332382
G1700830,0.464203868366
G1700850,0.14860875011200003
G1700870,0.5831809872029999
G1700890,-0.08941602067199994
G1700910,0.13259300627199994
G1700930,0.014956213715999978
G1700950,0.032735385176
G1700970,-0.20294031487800002
G1700990,0.14432266187799997
G1701010,0.534691174035
G1701030,0.20361485376199995
G1701050,0.41017488076299996
G1701070,0.40115416323100006
G1701090,0.117041053447
G1701110,0.08055942060000004
G1701130,0.014722450788000052
G1701150,0.18127022397099996
G1701170,0.350166811389
G1701190,0.15604916264000002
G1701210,0.44855421686800007
G1701230,0.337455531086
G1701250,0.31758122182500004
G1701270,0.49585406301900004
G1701290,0.377082360267
G1701310,0.20660567898299997
G1701330,0.37181503617499995
G1701350,0.39956348896999994
G1701370,0.298966249059
G1701390,0.47946529231799995
G1701410,0.265526514833
G1701430,-0.027586652037000003
G1701450,0.451576344529
G1701470,0.33599280818099997
G1701490,0.5815231965680001
G1701510,0.611632270169
G1701530,0.30974524868500003
G1701550,0.20123537061100005
G1701570,0.46828677309
G1701590,0.544823066842
G1701610,-0.08399104349600006
G1701630,-0.05621597134300005
G1701650,0.5071212390959999
G1701670,0.09424496226899998
G1701690,0.382120253165
G1701710,0.5563298490130001
G1701730,0.5434384164220001
G1701750,0.380125600296
G1701770,0.169731113956
G1701790,0.28497008540200003
G1701810,0.398285177355
G1701830,0.292157454948
G1701850,0.5355423917069999
G1701870,0.16675324675300007
G1701890,0.558568329718
G1701910,0.716448643411
G1701930,0.579914940321
G1701950,0.063149543832
G1701970,-0.05671282773799996
G1701990,0.412577175227
G1702010,0.01174055756600001
G1702030,0.41838155655299997
G1800010,0.524580105836
G1800030,0.19603256806199992
G1800050,0.333323041773
G1800070,0.470443349753
G1800090,0.436748237246
G1800110,0.295468014099
G1800130,0.31575619625699997
G1800150,0.509002206993
G1800170,0.42016271666099997
G1800190,0.21957185347499997
G1800210,0.552624567014
G1800230,0.48007733692000004
G1800250,0.368111522545
G1800270,0.628260059612
G1800290,0.553199498118
G1800310,0.5738621000449999
G1800330,0.482457183635
G1800350,0.136848699076
G1800370,0.400461916956
G1800390,0.324343810882
G1800410,0.481322140609
G1800430,0.20115513767600002
G1800450,0.559941129248
G1800470,0.609463148316
G1800490,0.483639837593
G1800510,0.47563340227500006
G1800530,0.39541978683800005
G1800550,0.5337499091760001
G1800570,0.19582763783100005
G1800590,0.448247147972
G1800610,0.44349093264300005
G1800630,0.341903850753
G1800650,0.43691158157
G1800670,0.33901071992199994
G1800690,0.5097658695380001
G1800710,0.5141455624
G1800730,0.45405445952999995
G1800750,0.478271791007
G1800770,0.312978233415
G1800790,0.5270355375620001
G1800810,0.42485920065300004
G1800830,0.47180778918800004
G1800850,0.551540414329
G1800870,0.5176926298160001
G1800890,-0.20640009588200003
G1800910,0.06407521002799998
G1800930,0.5149926609350001
G1800950,0.256820723071
G1800970,-0.228343534495
G1800990,0.415815193248
G1801010,0.585396297067
G1801030,0.536383928571
G1801050,-0.23698870242799996
G1801070,0.509171578041
G1801090,0.565554842848
G1801110,0.46123294767699996
G1801130,0.491059798698
G1801150,0.49091532396299997
G1801170,0.45817560141700003
G1801190,0.493544600939
G1801210,0.520377128954
G1801230,0.18616822429900004
G1801250,0.518822151581
G1801270,0.06782408617800001
G1801290,0.39187017994900003
G1801310,0.46477837042400005
G1801330,0.495980926431
G1801350,0.484793420046
G1801370,0.573494917904
G1801390,0.5221790962020001
G1801410,-0.002083104923000012
G1801430,0.37880794702
G1801450,0.47231669919100006
G1801470,0.372627773873
G1801490,0.42033383915100003
G1801510,0.43950447350300004
G1801530,0.4702652179
G1801550,0.44737565265199997
G1801570,0.05659280315299997
G1801590,0.532889480692
G1801610,0.5264759586119999
G1801630,0.16851730894899997
G1801650,0.351511644727
G1801670,0.15168439940399997
G1801690,0.5069698099140001
